iter	Passed	Remaining
0	150	150135
1	151	75445
2	152	50573
3	152	38088
4	153	30613
5	154	25631
6	155	22095
7	156	19424
8	157	17351
9	158	15698
10	160	14390
11	160	13249
12	161	12274
13	162	11443
14	163	10717
15	164	10091
16	164	9536
17	165	9047
18	166	8602
19	167	8205
20	168	7846
21	169	7520
22	170	7221
23	170	6946
24	171	6693
25	172	6458
26	173	6245
27	174	6045
28	174	5859
29	175	5680
30	176	5522
31	177	5369
32	178	5228
33	179	5093
34	180	4963
35	180	4841
36	181	4728
37	182	4618
38	183	4514
39	184	4417
40	184	4324
41	185	4235
42	186	4150
43	189	4113
44	190	4041
45	191	3971
46	192	3899
47	193	3830
48	193	3764
49	194	3700
50	195	3639
51	196	3580
52	197	3524
53	198	3470
54	198	3417
55	199	3365
56	200	3319
57	201	3270
58	202	3229
59	203	3182
60	203	3137
61	204	3095
62	205	3055
63	206	3015
64	207	2978
65	207	2941
66	208	2905
67	209	2866
68	209	2833
69	210	2800
70	211	2768
71	212	2737
72	213	2707
73	214	2678
74	214	2649
75	215	2621
76	216	2594
77	217	2567
78	217	2540
79	219	2523
80	220	2499
81	221	2476
82	222	2453
83	222	2429
84	223	2405
85	224	2382
86	224	2358
87	225	2338
88	226	2318
89	227	2299
90	228	2279
91	229	2261
92	230	2243
93	230	2225
94	231	2209
95	233	2197
96	234	2179
97	234	2161
98	235	2144
99	236	2128
100	237	2112
101	238	2095
102	238	2080
103	239	2066
104	240	2051
105	241	2036
106	242	2022
107	243	2010
108	244	1997
109	245	1985
110	246	1972
111	247	1959
112	247	1946
113	248	1933
114	249	1919
115	250	1905
116	251	1894
117	251	1882
118	252	1869
119	253	1858
120	254	1846
121	255	1835
122	255	1822
123	256	1812
124	257	1801
125	258	1791
126	259	1781
127	259	1768
128	260	1758
129	261	1749
130	262	1744
131	263	1734
132	264	1725
133	265	1716
134	266	1707
135	267	1698
136	268	1689
137	268	1679
138	269	1670
139	270	1662
140	271	1654
141	272	1645
142	273	1637
143	274	1629
144	275	1621
145	275	1614
146	277	1611
147	278	1604
148	279	1596
149	280	1589
150	281	1581
151	282	1574
152	283	1567
153	284	1561
154	284	1553
155	285	1546
156	286	1540
157	287	1532
158	288	1525
159	289	1519
160	290	1512
161	291	1506
162	292	1499
163	292	1493
164	293	1486
165	294	1479
166	295	1473
167	296	1467
168	297	1460
169	298	1455
170	298	1449
171	299	1443
172	300	1437
173	301	1431
174	302	1425
175	303	1419
176	304	1413
177	304	1407
178	305	1402
179	306	1396
180	307	1389
181	308	1387
182	309	1382
183	310	1377
184	311	1372
185	312	1366
186	313	1361
187	314	1356
188	314	1351
189	315	1346
190	316	1342
191	317	1336
192	318	1331
193	319	1327
194	320	1322
195	321	1317
196	322	1312
197	322	1308
198	323	1302
199	324	1297
200	325	1292
201	326	1288
202	327	1284
203	328	1280
204	329	1276
205	329	1271
206	330	1267
207	331	1262
208	332	1258
209	333	1254
210	334	1249
211	335	1245
212	335	1240
213	336	1237
214	337	1233
215	338	1228
216	339	1224
217	340	1220
218	341	1217
219	342	1213
220	343	1209
221	344	1206
222	345	1202
223	345	1198
224	346	1194
